father,mother,parental average,son,prediction,residual
71.0,58.0,64.5,71.5,68.8902213152,2.6097786848
70.0,69.0,69.5,71.0,72.7129128874,-1.7129128874
70.0,69.0,69.5,70.0,72.7129128874,-2.7129128874
70.0,68.0,69.0,75.0,72.3306437302,2.66935626982
70.0,67.0,68.5,70.0,71.948374573,-1.94837457296
70.0,66.5,68.25,73.0,71.7572399944,1.24276000565
70.5,65.0,67.75,72.0,71.3749708371,0.62502916287
70.0,65.0,67.5,73.0,71.1838362585,1.81616374148
70.0,65.0,67.5,67.0,71.1838362585,-4.18383625852
70.0,65.0,67.5,70.0,71.1838362585,-1.18383625852
70.0,65.0,67.5,79.0,71.1838362585,7.81616374148
70.0,65.0,67.5,73.0,71.1838362585,1.81616374148
70.0,65.0,67.5,69.0,71.1838362585,-2.18383625852
70.0,64.7,67.35,72.0,71.0691555114,0.930844488646
70.0,64.0,67.0,70.7,70.8015671013,-0.101567101299
70.0,64.0,67.0,70.0,70.8015671013,-0.801567101299
70.0,64.2,67.1,72.0,70.8780209327,1.12197906726
70.5,64.0,67.25,74.0,70.9927016799,3.00729832009
70.0,64.0,67.0,68.0,70.8015671013,-2.8015671013
70.0,64.0,67.0,71.0,70.8015671013,0.198432898701
70.0,63.7,66.85,70.0,70.6868863541,-0.686886354133
70.5,63.0,66.75,70.0,70.6104325227,-0.610432522689
70.5,63.0,66.75,72.5,70.6104325227,1.88956747731
70.0,63.5,66.75,71.0,70.6104325227,0.389567477311
70.0,63.0,66.5,68.0,70.4192979441,-2.41929794408
70.0,63.0,66.5,70.0,70.4192979441,-0.419297944079
70.5,62.0,66.25,72.0,70.2281633655,1.77183663453
70.3,62.7,66.5,70.7,70.4192979441,0.280702055921
70.5,62.0,66.25,72.0,70.2281633655,1.77183663453
70.0,61.0,65.5,71.2,69.6547596296,1.54524037036
70.0,60.0,65.0,67.0,69.2724904724,-2.27249047242
70.0,58.5,64.25,71.5,68.6990867366,2.80091326341
70.0,58.0,64.0,72.0,68.507952158,3.49204784202
69.0,68.5,68.75,75.0,72.1395091516,2.86049084843
69.0,66.0,67.5,73.0,71.1838362585,1.81616374148
69.0,66.0,67.5,71.2,71.1838362585,0.0161637414804
69.0,66.7,67.85,75.0,71.4514246686,3.54857533143
69.0,66.0,67.5,70.0,71.1838362585,-1.18383625852
69.0,66.5,67.75,73.0,71.3749708371,1.62502916287
69.5,66.5,68.0,70.5,71.5661054157,-1.06610541574
69.0,66.5,67.75,71.0,71.3749708371,-0.37497083713
69.5,66.0,67.75,71.0,71.3749708371,-0.37497083713
69.0,66.0,67.5,73.0,71.1838362585,1.81616374148
69.0,65.0,67.0,70.0,70.8015671013,-0.801567101299
69.5,64.5,67.0,69.7,70.8015671013,-1.1015671013
69.2,64.0,66.6,71.7,70.4957517755,1.20424822448
69.0,63.0,66.0,69.0,70.0370287869,-1.03702878686
69.0,63.0,66.0,72.0,70.0370287869,1.96297121314
69.0,63.0,66.0,73.0,70.0370287869,2.96297121314
69.0,63.5,66.25,70.5,70.2281633655,0.271836634531
69.0,63.5,66.25,70.5,70.2281633655,0.271836634531
69.5,62.0,65.75,73.0,69.8458942082,3.15410579175
69.0,62.0,65.5,73.0,69.6547596296,3.34524037036
69.5,62.0,65.75,72.0,69.8458942082,2.15410579175
69.0,62.5,65.75,71.0,69.8458942082,1.15410579175
69.0,62.0,65.5,72.0,69.6547596296,2.34524037036
69.5,61.0,65.25,70.0,69.463625051,0.536374948972
69.0,61.0,65.0,68.0,69.2724904724,-1.27249047242
69.0,60.0,64.5,70.5,68.8902213152,1.6097786848
69.0,60.0,64.5,69.0,68.8902213152,0.109778684802
69.0,60.5,64.75,69.5,69.0813558938,0.418644106192
68.7,70.5,69.6,71.0,72.7893667188,-1.78936671884
68.5,67.0,67.75,73.0,71.3749708371,1.62502916287
68.5,66.5,67.5,70.0,71.1838362585,-1.18383625852
68.0,65.0,66.5,67.5,70.4192979441,-2.91929794408
68.0,65.5,66.75,66.0,70.6104325227,-4.61043252269
68.0,65.5,66.75,71.7,70.6104325227,1.08956747731
68.0,65.0,66.5,72.0,70.4192979441,1.58070205592
68.5,65.0,66.75,69.2,70.6104325227,-1.41043252269
68.5,65.0,66.75,72.0,70.6104325227,1.38956747731
68.0,64.0,66.0,71.0,70.0370287869,0.962971213141
68.0,64.0,66.0,66.0,70.0370287869,-4.03702878686
68.0,64.0,66.0,71.2,70.0370287869,1.16297121314
68.0,64.0,66.0,69.0,70.0370287869,-1.03702878686
68.0,63.0,65.5,70.5,69.6547596296,0.845240370362
68.5,63.5,66.0,73.5,70.0370287869,3.46297121314
68.0,63.0,65.5,67.0,69.6547596296,-2.65475962964
68.0,63.0,65.5,70.0,69.6547596296,0.345240370362
68.0,63.0,65.5,71.0,69.6547596296,1.34524037036
68.0,63.0,65.5,67.0,69.6547596296,-2.65475962964
68.5,63.5,66.0,68.2,70.0370287869,-1.83702878686
68.0,63.0,65.5,70.0,69.6547596296,0.345240370362
68.2,63.5,65.85,70.0,69.9223480397,0.0776519603074
68.0,62.5,65.25,68.5,69.463625051,-0.963625051028
68.7,62.0,65.35,67.7,69.5400788825,-1.84007888247
68.0,62.5,65.25,66.5,69.463625051,-2.96362505103
68.0,61.0,64.5,68.5,68.8902213152,-0.390221315198
68.0,60.2,64.1,66.7,68.5844059894,-1.88440598942
68.0,60.0,64.0,64.0,68.507952158,-4.50795215798
68.0,60.0,64.0,67.5,68.507952158,-1.00795215798
68.5,59.0,63.75,69.0,68.3168175794,0.683182420633
68.0,59.0,63.5,68.0,68.1256830008,-0.125683000757
67.0,66.2,66.6,72.7,70.4957517755,2.20424822448
67.0,66.5,66.75,71.0,70.6104325227,0.389567477311
67.0,66.0,66.5,73.0,70.4192979441,2.58070205592
67.0,65.0,66.0,69.7,70.0370287869,-0.337028786859
67.0,65.5,66.25,70.0,70.2281633655,-0.228163365469
67.0,65.5,66.25,70.0,70.2281633655,-0.228163365469
67.0,65.0,66.0,65.0,70.0370287869,-5.03702878686
67.5,65.0,66.25,71.0,70.2281633655,0.771836634531
67.0,64.0,65.5,71.5,69.6547596296,1.84524037036
67.0,63.5,65.25,71.0,69.463625051,1.53637494897
67.0,63.0,65.0,69.0,69.2724904724,-0.272490472418
67.5,62.0,64.75,70.0,69.0813558938,0.918644106192
67.0,61.0,64.0,67.0,68.507952158,-1.50795215798
66.0,67.0,66.5,70.5,70.4192979441,0.080702055921
66.0,67.0,66.5,72.0,70.4192979441,1.58070205592
66.0,66.0,66.0,66.0,70.0370287869,-4.03702878686
66.0,66.0,66.0,72.0,70.0370287869,1.96297121314
66.5,65.0,65.75,68.7,69.8458942082,-1.14589420825
66.0,65.5,65.75,72.0,69.8458942082,2.15410579175
66.0,63.0,64.5,70.0,68.8902213152,1.1097786848
66.5,63.0,64.75,67.2,69.0813558938,-1.88135589381
66.5,62.5,64.5,70.0,68.8902213152,1.1097786848
66.0,61.5,63.75,70.0,68.3168175794,1.68318242063
66.0,60.0,63.0,68.0,67.7434138435,0.256586156463
66.0,60.0,63.0,65.0,67.7434138435,-2.74341384354
66.0,59.0,62.5,68.0,67.3611446863,0.638855313683
65.0,67.0,66.0,66.5,70.0370287869,-3.53702878686
65.0,66.0,65.5,63.0,69.6547596296,-6.65475962964
65.0,66.0,65.5,67.0,69.6547596296,-2.65475962964
65.0,65.0,65.0,69.0,69.2724904724,-0.272490472418
65.0,65.5,65.25,70.7,69.463625051,1.23637494897
65.0,65.0,65.0,69.2,69.2724904724,-0.0724904724182
65.0,64.0,64.5,67.0,68.8902213152,-1.8902213152
65.0,63.0,64.0,70.0,68.507952158,1.49204784202
65.0,63.0,64.0,66.0,68.507952158,-2.50795215798
65.5,63.0,64.25,71.0,68.6990867366,2.30091326341
65.5,60.0,62.75,68.0,67.5522792649,0.447720735073
64.0,64.0,64.0,71.5,68.507952158,2.99204784202
64.0,64.0,64.0,70.5,68.507952158,1.99204784202
64.0,63.0,63.5,64.5,68.1256830008,-3.62568300076
64.0,60.0,62.0,66.0,66.9788755291,-0.978875529096
62.0,66.0,64.0,64.0,68.507952158,-4.50795215798
62.5,63.0,62.75,66.5,67.5522792649,-1.05227926493
