SalePrice,1st Flr SF,Total Bsmt SF,Garage Area,Year Built
362500,1251,1231.0,762.0,1993
285000,1402,1390.0,713.0,1992
254000,975,975.0,592.0,2000
130500,725,725.0,475.0,1976
230000,1492,1492.0,596.0,2002
218500,1829,1829.0,535.0,1967
243500,1280,1280.0,660.0,1993
205000,1610,1610.0,480.0,1977
212500,1287,1224.0,678.0,1978
196500,980,980.0,496.0,1988
197500,1381,1161.0,676.0,1972
171000,930,715.0,441.0,1971
142250,1232,1232.0,490.0,1966
143000,1328,1328.0,528.0,1963
128950,1225,950.0,0.0,1959
159000,1209,1209.0,504.0,1966
178900,1510,1510.0,517.0,1967
180500,1152,1152.0,484.0,1964
142125,1078,1078.0,240.0,1950
197600,1929,1140.0,400.0,1952
172500,1019,782.0,470.0,1949
116500,858,858.0,0.0,1958
76500,1306,728.0,0.0,1940
128000,1063,1056.0,280.0,1954
153000,1520,1156.0,364.0,1955
132000,1268,1268.0,244.0,1954
178000,1128,1080.0,315.0,1966
180000,2207,1947.0,576.0,1970
190000,1888,1517.0,578.0,1966
214000,1480,1480.0,620.0,2003
136000,1143,1143.0,308.0,1959
165500,1700,1398.0,447.0,1959
145000,1314,1314.0,294.0,1957
148000,1194,1194.0,312.0,1959
167500,1264,1268.0,461.0,1960
108538,1206,1206.0,312.0,1959
159500,1580,1244.0,440.0,1959
108000,832,832.0,263.0,1956
135000,1064,864.0,318.0,1952
122500,972,972.0,305.0,1955
105000,985,576.0,676.0,1920
107500,827,0.0,392.0,1955
144900,1086,1086.0,490.0,1954
129000,936,936.0,308.0,1956
162000,1287,1063.0,576.0,1959
242000,1898,710.0,564.0,1967
132000,816,816.0,280.0,1948
154000,1246,1246.0,305.0,1959
166000,910,910.0,720.0,1952
134800,900,900.0,576.0,1951
160000,1116,1116.0,440.0,1962
148000,1175,1175.0,484.0,1960
192000,1395,1395.0,440.0,1963
155000,1051,756.0,442.0,1966
96500,792,576.0,0.0,1910
109500,936,936.0,0.0,1920
115000,1028,1008.0,360.0,1927
143000,1347,1347.0,551.0,1957
107400,840,840.0,379.0,1915
80000,747,747.0,220.0,1945
130000,926,926.0,484.0,1929
119000,827,827.0,240.0,1938
129000,1027,1027.0,240.0,1948
100000,1060,1008.0,315.0,1920
105900,720,624.0,484.0,1928
139000,966,686.0,416.0,1915
240000,1157,346.0,624.0,1890
149700,1236,912.0,923.0,1957
125500,741,622.0,528.0,1910
140750,868,738.0,624.0,1922
128500,1030,988.0,363.0,1950
209500,1160,1108.0,315.0,1922
87000,765,765.0,200.0,1925
128000,848,572.0,576.0,1940
132000,955,835.0,240.0,1942
139900,780,780.0,312.0,1948
123900,548,528.0,624.0,1936
138400,928,928.0,480.0,1930
109500,1068,1124.0,288.0,1923
140000,902,576.0,480.0,1921
149500,888,888.0,572.0,1915
159900,780,780.0,0.0,1912
122000,662,662.0,180.0,1920
244400,1207,1032.0,349.0,1940
173000,1675,1422.0,365.0,1959
107500,725,689.0,180.0,1917
95000,600,600.0,231.0,1940
94000,780,780.0,0.0,1875
121500,1392,1392.0,528.0,1957
125000,912,912.0,336.0,1967
154000,1060,1060.0,270.0,1968
137900,892,864.0,416.0,1966
158000,663,663.0,299.0,1969
137250,864,864.0,280.0,1968
163000,720,720.0,480.0,1968
328000,1306,1306.0,533.0,1996
270000,1483,1420.0,690.0,1977
85000,756,660.0,440.0,1927
128000,1067,1067.0,436.0,1950
260000,1332,1332.0,586.0,1979
230000,1117,1117.0,522.0,1978
124000,1052,972.0,480.0,1938
144500,1074,663.0,467.0,1950
129000,1144,1144.0,596.0,1956
127000,1169,756.0,209.0,1947
128000,1172,1172.0,366.0,1954
186000,1212,1212.0,460.0,2009
114000,1298,1250.0,504.0,1964
178000,977,741.0,476.0,1985
270000,1433,1433.0,528.0,1987
218000,964,946.0,1017.0,1993
236000,1062,1050.0,574.0,1993
147000,996,936.0,564.0,1992
245350,1694,1694.0,776.0,2008
206000,1208,1187.0,632.0,2006
198900,1226,1226.0,740.0,2009
187000,1222,1222.0,615.0,2010
320000,1699,1673.0,594.0,1990
138500,831,676.0,484.0,1900
155000,1052,1010.0,440.0,1971
159000,965,870.0,580.0,1996
191000,892,878.0,513.0,1997
200500,804,804.0,523.0,1998
150000,1026,1026.0,308.0,1977
161750,689,689.0,299.0,1977
128200,894,894.0,308.0,1976
127000,876,876.0,484.0,1972
318000,1978,1978.0,850.0,2003
272000,1601,1581.0,670.0,2001
237000,941,941.0,613.0,2003
240000,1044,1040.0,621.0,1997
224900,1661,1649.0,598.0,1998
232000,1668,1657.0,502.0,2003
213000,1484,1473.0,606.0,2004
185500,1414,1414.0,494.0,2004
84900,640,0.0,240.0,1945
144000,1196,1196.0,336.0,1968
125200,1096,1008.0,352.0,1975
90000,960,960.0,0.0,1958
140000,1121,1121.0,440.0,2003
113000,798,735.0,220.0,1945
144500,1526,1216.0,364.0,1957
104000,1296,1107.0,260.0,1924
128000,841,806.0,216.0,1915
58500,864,864.0,200.0,1914
127000,1026,1026.0,308.0,1924
126000,856,856.0,399.0,1939
100000,894,894.0,0.0,1931
169000,1699,804.0,336.0,1919
257500,1225,1528.0,312.0,1941
266500,1188,1152.0,252.0,1941
335000,1902,1902.0,567.0,1959
203135,896,423.0,473.0,1994
289000,1801,1501.0,484.0,1959
125500,796,796.0,240.0,1922
82000,540,480.0,200.0,1941
110000,727,629.0,625.0,1921
254900,1036,1049.0,741.0,1998
190000,1285,1243.0,473.0,1977
201000,1560,1560.0,573.0,2003
169900,1034,1012.0,888.0,1976
160000,1687,747.0,572.0,1948
220000,1346,1336.0,660.0,2008
174000,744,384.0,400.0,2006
214900,824,817.0,510.0,2002
202900,993,967.0,431.0,2002
378500,2018,2002.0,746.0,2008
169000,1264,1068.0,528.0,1965
173500,1430,1430.0,624.0,2004
166500,1344,1344.0,686.0,1999
130000,874,864.0,352.0,1971
157900,1188,1188.0,312.0,1962
149900,833,833.0,495.0,1984
136000,624,624.0,576.0,1991
161000,864,864.0,275.0,1969
285000,1803,1679.0,482.0,1994
231000,1152,1152.0,616.0,1993
124500,882,882.0,502.0,1956
157000,1434,1434.0,528.0,1974
345000,2000,1952.0,538.0,1972
189500,945,945.0,470.0,1997
270000,1008,1008.0,632.0,2003
189000,958,384.0,390.0,1996
377500,1746,1746.0,758.0,2006
168500,804,384.0,400.0,1995
240000,1478,1418.0,495.0,1998
177500,751,384.0,396.0,1998
185000,885,832.0,427.0,1998
191000,952,952.0,440.0,1998
178000,799,799.0,380.0,1993
185000,680,680.0,420.0,1993
181316,707,707.0,409.0,1994
166000,1190,1181.0,430.0,1993
178000,808,808.0,389.0,1992
174000,702,702.0,343.0,1994
173000,1167,1158.0,400.0,1992
225000,1005,978.0,490.0,1999
180500,1442,1424.0,500.0,1990
260000,1530,1530.0,430.0,2005
185000,946,1122.0,567.0,1977
260000,1153,845.0,484.0,1980
181000,1586,1362.0,435.0,1979
215000,1602,1602.0,529.0,1977
200000,1671,1427.0,484.0,1978
249000,1539,1043.0,441.0,1980
187500,1472,1372.0,588.0,1980
184000,1707,1140.0,479.0,1978
278000,2524,2524.0,542.0,1981
197500,1088,780.0,484.0,1976
240900,1016,926.0,581.0,2003
220000,1058,1058.0,588.0,2000
235000,972,972.0,565.0,2002
213000,1621,1621.0,478.0,1975
167900,1116,1116.0,528.0,1974
158000,1193,1176.0,506.0,1975
165000,1350,1064.0,478.0,1974
148500,1002,1002.0,902.0,1970
156000,1026,1026.0,440.0,1969
128000,1180,1180.0,477.0,1970
143000,1050,1043.0,336.0,1971
120500,864,864.0,660.0,1970
124500,864,864.0,463.0,1970
130000,864,864.0,576.0,1971
100000,892,892.0,288.0,1967
148800,1120,864.0,656.0,1966
337500,1718,1700.0,786.0,2006
462000,1794,1776.0,754.0,2007
555000,2402,3094.0,672.0,2008
325000,1652,1652.0,840.0,2006
256300,1600,1566.0,890.0,2007
335000,1130,1104.0,836.0,2008
404000,2020,2020.0,896.0,2008
451950,1728,1722.0,842.0,2008
610000,2674,2630.0,762.0,2007
360000,1736,1736.0,834.0,2008
296000,1782,1782.0,932.0,2004
255500,1717,1709.0,908.0,2006
335000,1743,1739.0,927.0,2008
274900,1713,1713.0,856.0,2004
300000,1531,1504.0,700.0,2006
324000,1808,1774.0,850.0,2008
350000,1462,1462.0,738.0,2004
280000,1836,1836.0,862.0,2004
284000,1629,3206.0,880.0,2003
269500,1760,1760.0,583.0,2003
386250,2392,2392.0,968.0,2003
445000,2452,2452.0,886.0,2003
290000,1105,1082.0,730.0,2003
255900,1606,1598.0,871.0,2006
382500,2200,2200.0,685.0,2003
286500,1712,1712.0,701.0,2002
184000,728,728.0,390.0,2005
167800,745,745.0,392.0,2005
174000,742,742.0,390.0,2005
174000,684,684.0,400.0,2005
188500,716,716.0,432.0,2004
200000,1010,1010.0,390.0,2002
170000,744,384.0,400.0,2004
189500,868,868.0,436.0,2004
184100,779,408.0,527.0,2002
195500,846,846.0,434.0,2004
192000,806,782.0,400.0,2003
178000,698,698.0,393.0,2003
236000,980,952.0,554.0,2000
257500,878,870.0,644.0,2002
244000,1022,992.0,390.0,2000
167000,744,384.0,400.0,2004
179000,1007,982.0,463.0,2000
190000,819,794.0,394.0,2000
156000,774,384.0,400.0,1999
245000,1223,1177.0,658.0,1999
181000,892,841.0,502.0,1999
214000,1022,992.0,390.0,1999
168000,774,384.0,410.0,1999
337000,1268,1252.0,856.0,1999
403000,1490,1462.0,810.0,1995
327000,1466,1455.0,810.0,2000
340000,1310,1284.0,1069.0,1998
336000,1276,1225.0,676.0,1998
265000,1277,1264.0,889.0,1996
315000,2063,2024.0,815.0,1994
260000,1372,1347.0,656.0,1993
260000,1094,1070.0,647.0,1995
263550,1215,1173.0,623.0,1993
402000,1686,1629.0,711.0,1994
248000,979,973.0,467.0,1994
275000,1696,1696.0,972.0,2008
257500,1658,1614.0,726.0,2008
275500,1702,1702.0,844.0,2007
245000,1432,1422.0,492.0,2006
253000,1113,1113.0,689.0,2005
468000,2490,2458.0,795.0,2005
210000,786,768.0,676.0,2008
229800,1402,1402.0,625.0,2008
250000,1530,1530.0,984.0,2007
238500,1448,1372.0,692.0,2006
310000,1026,1017.0,812.0,2008
270000,909,900.0,782.0,2006
252000,1082,1082.0,1043.0,2005
241000,1112,1092.0,438.0,2006
291000,1662,1652.0,711.0,2006
263000,912,912.0,615.0,2003
185000,1221,1221.0,400.0,2004
234500,1553,1553.0,588.0,2003
209000,812,812.0,628.0,2003
159000,1218,1218.0,576.0,2007
152000,1141,1141.0,484.0,2006
143500,1158,1158.0,0.0,2004
193000,871,835.0,478.0,2004
203000,1512,1512.0,845.0,2004
184900,1200,1176.0,555.0,2003
159000,1114,1114.0,576.0,2004
142000,1114,1114.0,0.0,2004
153000,1114,1114.0,576.0,2003
220000,913,913.0,559.0,1996
189000,1434,1454.0,527.0,2001
171500,833,816.0,528.0,1992
184000,754,754.0,495.0,1994
162000,698,676.0,465.0,1986
82000,841,721.0,294.0,1950
76000,784,784.0,360.0,1928
110000,980,980.0,400.0,1962
135000,980,980.0,484.0,1977
141000,864,864.0,732.0,1961
122000,864,864.0,440.0,1961
129000,912,912.0,300.0,1963
131400,1144,864.0,264.0,1961
62383,864,864.0,360.0,1965
123000,912,912.0,252.0,1962
275000,2014,2014.0,864.0,1980
235000,975,975.0,524.0,1991
318750,1694,1694.0,642.0,1977
241600,1740,1740.0,540.0,1981
150000,1620,1281.0,490.0,1976
154000,829,727.0,441.0,1968
185000,1442,1442.0,615.0,1970
185750,1489,1489.0,462.0,1968
200000,1107,1107.0,484.0,1973
206000,1285,752.0,784.0,1974
162000,735,723.0,497.0,1972
256900,1271,932.0,515.0,1967
197900,1724,1680.0,480.0,1967
163000,1336,1288.0,502.0,1969
230000,1316,908.0,520.0,1977
167900,1334,1350.0,630.0,1977
213250,1680,1650.0,583.0,1998
227000,810,810.0,528.0,2001
130000,864,864.0,312.0,1967
143000,1568,1568.0,440.0,1967
117500,925,925.0,429.0,1965
172500,1320,1232.0,495.0,1971
161500,1342,1372.0,457.0,1967
141500,894,894.0,396.0,1960
118000,864,864.0,308.0,1959
127500,864,864.0,300.0,1959
140000,1362,1040.0,768.0,1957
177625,1728,1048.0,576.0,1956
167000,1516,1516.0,472.0,1964
153000,1313,1313.0,610.0,1961
154000,1154,1154.0,480.0,1966
177500,825,744.0,549.0,1965
158000,1445,1127.0,645.0,1964
124500,1041,1041.0,270.0,1959
174500,1576,1208.0,368.0,1961
122000,960,960.0,330.0,1955
82500,708,420.0,0.0,1940
110000,979,709.0,352.0,1950
149500,1505,1505.0,505.0,1953
175000,1691,1680.0,550.0,1967
167000,1644,1416.0,418.0,1953
128900,1050,1050.0,338.0,1956
140000,1112,856.0,271.0,1950
147000,1113,1113.0,264.0,1950
187500,1453,1453.0,530.0,1961
159000,1394,1394.0,514.0,1963
256000,1567,1562.0,542.0,1966
205000,1186,768.0,486.0,1965
193500,1182,896.0,509.0,1968
110000,1392,1392.0,576.0,1968
104900,1281,715.0,368.0,1920
150000,1144,1169.0,286.0,1956
156500,1478,1478.0,442.0,1957
176000,1329,1329.0,441.0,1960
149500,988,988.0,297.0,1959
139000,1632,1240.0,338.0,1958
155000,1215,1215.0,297.0,1958
153000,1382,1382.0,350.0,1955
176000,1382,1362.0,884.0,1962
153000,1297,1297.0,498.0,1954
131000,1062,1062.0,297.0,1954
123000,1319,608.0,270.0,1953
126000,1112,631.0,480.0,1951
115000,1005,1005.0,672.0,1955
164900,1363,1008.0,288.0,1951
113000,793,793.0,240.0,1945
145500,1031,1031.0,230.0,1952
102900,1210,0.0,616.0,1953
152500,801,699.0,410.0,1948
129900,1200,1200.0,246.0,1950
132000,972,972.0,240.0,1948
99900,792,792.0,366.0,1958
135000,808,660.0,180.0,1916
149000,676,676.0,720.0,1939
114000,717,405.0,281.0,1900
109500,792,768.0,240.0,1924
125000,1078,1054.0,264.0,1925
142900,1313,1313.0,528.0,1915
156500,930,560.0,624.0,1910
59000,599,416.0,0.0,1940
105000,840,840.0,338.0,1920
106000,846,720.0,576.0,1920
78500,725,630.0,320.0,1890
154000,1380,1380.0,364.0,1963
163000,1040,1040.0,480.0,1967
143500,951,951.0,480.0,1958
135000,1105,1105.0,308.0,1957
153000,1306,992.0,756.0,1957
157500,1478,1478.0,498.0,1960
113500,1142,160.0,384.0,1958
133000,1036,832.0,288.0,1949
138000,1136,1208.0,240.0,1950
128000,1041,1041.0,294.0,1958
118900,732,732.0,240.0,1952
138000,1183,528.0,288.0,1959
132500,1148,1148.0,672.0,1959
133500,832,832.0,384.0,1949
144750,993,780.0,483.0,1964
127000,1045,1045.0,264.0,1963
109500,894,894.0,308.0,1962
115000,818,818.0,210.0,1926
110000,682,440.0,440.0,1910
128900,861,901.0,162.0,1935
130000,810,240.0,472.0,1910
129000,764,504.0,0.0,1910
150000,868,690.0,400.0,1939
107500,1378,994.0,432.0,1892
135000,707,651.0,240.0,1946
103000,801,801.0,0.0,1910
129500,768,768.0,308.0,1950
80000,861,861.0,288.0,1920
45000,612,0.0,308.0,1940
91300,886,190.0,273.0,1938
99500,792,624.0,287.0,1923
87500,833,677.0,720.0,1910
110000,720,720.0,240.0,1947
106000,1075,849.0,360.0,1898
265979,1320,1240.0,864.0,1880
160000,1090,917.0,357.0,1900
119000,664,624.0,280.0,1917
168000,916,916.0,424.0,1882
58500,816,624.0,0.0,1910
143000,832,650.0,324.0,1920
85000,1022,1022.0,280.0,1910
124900,1188,1088.0,456.0,1890
146500,780,741.0,640.0,1910
223500,1072,1324.0,528.0,1923
149000,1432,1022.0,216.0,1923
205000,952,952.0,672.0,1925
137000,1001,297.0,336.0,1930
121000,952,952.0,192.0,1916
128000,757,672.0,240.0,1936
134900,786,698.0,624.0,1937
117000,884,884.0,216.0,1925
132500,825,780.0,280.0,1939
93000,822,468.0,320.0,1924
119000,904,884.0,180.0,1926
100000,1301,1145.0,440.0,1924
141500,1067,927.0,576.0,1936
133000,989,884.0,240.0,1935
60000,800,264.0,0.0,1936
105000,875,715.0,180.0,1931
150000,994,952.0,250.0,1938
126500,1072,1072.0,1184.0,1925
214500,1445,844.0,441.0,1916
167500,1136,728.0,532.0,1910
155000,1048,1048.0,576.0,1915
155000,916,910.0,164.0,1915
179900,1272,672.0,216.0,1915
149000,1146,720.0,316.0,1927
103000,848,780.0,539.0,1925
123000,741,483.0,379.0,1915
135000,1204,1204.0,384.0,1927
88750,704,560.0,220.0,1946
61000,904,683.0,0.0,1922
103600,697,672.0,300.0,1925
63000,687,585.0,226.0,1934
175000,1464,520.0,480.0,1963
139000,1121,1121.0,480.0,1963
172500,918,918.0,440.0,1978
130000,899,864.0,288.0,1967
149900,1034,456.0,504.0,1978
134900,858,858.0,576.0,1982
137000,860,840.0,528.0,1982
139000,1092,1092.0,288.0,1962
165000,904,552.0,384.0,1961
148000,1138,1138.0,480.0,1960
165000,2071,825.0,336.0,1956
63900,660,0.0,0.0,1947
161500,1104,1104.0,304.0,1957
135000,1229,1134.0,284.0,1956
82500,861,861.0,539.0,1940
190000,1867,1617.0,303.0,1955
139600,1733,0.0,452.0,1955
122000,1383,0.0,498.0,1954
127500,1689,1436.0,480.0,1956
121500,1073,1073.0,340.0,1956
154400,892,747.0,240.0,1946
113000,672,672.0,234.0,1941
125000,1089,1089.0,252.0,1954
84000,845,0.0,290.0,1957
131000,1148,768.0,281.0,1949
105000,698,560.0,280.0,1939
108000,755,755.0,296.0,1940
162000,1061,1054.0,462.0,1990
156500,1338,520.0,576.0,1983
316600,1496,1496.0,612.0,1983
271900,2196,2158.0,701.0,1990
213000,1006,740.0,425.0,1993
239900,1079,1079.0,473.0,1993
239500,1142,1128.0,466.0,1995
131000,1288,0.0,576.0,1880
297000,1718,1705.0,826.0,2007
295493,1630,1622.0,860.0,2008
332000,1720,1720.0,846.0,2008
239900,1468,1468.0,904.0,2008
212000,866,866.0,578.0,2007
272500,1838,1838.0,524.0,2007
239000,1800,1800.0,702.0,2007
200000,1290,1282.0,662.0,2007
221800,1254,1254.0,810.0,2008
194500,1232,1232.0,632.0,2007
237000,1498,1498.0,844.0,2005
173000,704,704.0,440.0,2005
275000,1644,1518.0,569.0,1989
233500,944,1449.0,525.0,1992
152000,1040,1040.0,576.0,1996
143000,990,990.0,440.0,1994
231500,928,928.0,470.0,1997
212000,827,799.0,550.0,1996
207000,1463,1463.0,539.0,1998
145000,1097,1097.0,672.0,1994
138000,990,990.0,480.0,1994
197900,866,866.0,546.0,1998
204000,1501,1490.0,577.0,1999
192000,1431,1431.0,666.0,1999
200000,928,928.0,492.0,1998
195000,831,831.0,493.0,2002
227000,1573,1573.0,544.0,2002
230000,944,944.0,622.0,2001
187100,1430,1413.0,605.0,2001
203000,1444,1431.0,577.0,2002
124000,1040,1040.0,0.0,1978
140000,907,907.0,343.0,1978
134900,914,914.0,444.0,1979
150500,1040,1040.0,484.0,1977
136500,864,864.0,336.0,1978
143500,1268,1268.0,252.0,1977
133500,864,864.0,338.0,1972
123000,894,894.0,600.0,1972
133900,768,768.0,396.0,1972
133000,768,768.0,396.0,1972
250000,1611,1569.0,1231.0,2002
254750,1068,1068.0,570.0,2003
236500,1788,1753.0,522.0,2001
261500,1299,1299.0,531.0,2001
313000,1476,1440.0,736.0,2000
198500,840,840.0,550.0,2002
211000,944,944.0,608.0,2001
220000,1513,1462.0,521.0,1999
203000,1504,1504.0,478.0,1996
279500,1828,1822.0,523.0,2002
210000,1417,1417.0,511.0,1997
219500,1057,1057.0,645.0,1997
191000,909,880.0,512.0,1996
178000,1212,1212.0,573.0,2001
213000,1630,1630.0,451.0,2000
293200,1602,1578.0,810.0,2007
190000,864,864.0,572.0,2004
190000,1500,1500.0,570.0,2004
173500,738,738.0,540.0,2005
170000,608,608.0,440.0,2007
108000,1126,0.0,520.0,1949
167000,1486,1486.0,480.0,1964
100000,816,816.0,288.0,1938
198500,495,0.0,672.0,2003
159500,698,690.0,440.0,1977
127000,1149,1014.0,544.0,1960
320000,1698,1698.0,768.0,2007
118000,698,698.0,0.0,1947
85000,876,876.0,320.0,1959
120000,1368,1078.0,195.0,1950
98000,1088,0.0,240.0,1945
99900,864,864.0,0.0,1922
82000,944,0.0,528.0,1952
103500,1560,1150.0,313.0,1956
110000,684,684.0,528.0,1920
122000,854,720.0,256.0,1941
117000,984,984.0,660.0,1941
60000,438,290.0,246.0,1920
139500,944,778.0,240.0,1940
197000,1687,824.0,672.0,1920
105000,647,583.0,180.0,1935
135000,1328,1122.0,576.0,1928
147500,1232,816.0,440.0,1916
137450,1160,976.0,216.0,1925
155000,575,560.0,576.0,1936
177000,1172,896.0,342.0,1928
145000,877,861.0,216.0,1928
137000,628,600.0,215.0,1918
234000,1276,1276.0,282.0,1926
205000,840,840.0,440.0,1940
177500,753,771.0,213.0,1942
160000,976,728.0,256.0,1940
155000,1273,1273.0,307.0,1960
163500,964,876.0,432.0,1921
154900,820,731.0,186.0,1921
174500,860,704.0,234.0,1941
193000,1561,1561.0,463.0,1960
158000,986,1067.0,295.0,1949
224000,1906,1310.0,576.0,1954
208000,1182,572.0,501.0,1986
315000,2365,1803.0,551.0,1971
222000,1680,880.0,540.0,1988
147000,672,672.0,468.0,1920
123000,928,760.0,576.0,1900
78000,596,596.0,189.0,1920
75000,572,572.0,200.0,1925
57625,810,0.0,280.0,1910
251000,1040,1107.0,642.0,2000
240000,1710,1710.0,550.0,2004
215000,804,804.0,560.0,2001
156450,926,902.0,351.0,1977
173000,1287,957.0,541.0,1977
173000,1217,1188.0,497.0,1990
375000,2036,2136.0,513.0,1965
315500,1620,1620.0,912.0,2007
410000,2036,2190.0,780.0,2008
316500,1641,1641.0,885.0,2008
201000,1466,1466.0,610.0,2007
175000,1412,1392.0,576.0,1988
204000,1375,712.0,440.0,1980
213500,1479,1645.0,578.0,1987
220000,1296,1267.0,471.0,2001
315000,1838,1838.0,765.0,2006
425000,1978,1978.0,920.0,2007
139500,1008,1008.0,384.0,1968
115000,1771,0.0,336.0,1960
130000,874,864.0,288.0,1968
160000,1404,1188.0,504.0,1969
131900,796,796.0,336.0,1972
131250,1091,384.0,429.0,1993
165500,1110,1097.0,602.0,1978
112000,833,833.0,0.0,1985
149000,883,828.0,698.0,1992
143000,796,796.0,480.0,1993
130000,624,624.0,440.0,1992
196000,1567,1567.0,714.0,1977
173000,784,784.0,898.0,1969
176500,1414,1184.0,601.0,1958
237500,2117,1205.0,550.0,1970
206900,1092,952.0,576.0,1969
187500,926,926.0,470.0,1997
165000,680,680.0,420.0,1995
195500,926,926.0,472.0,1998
192000,943,943.0,472.0,1998
173000,916,916.0,386.0,1996
177900,1384,1348.0,404.0,1996
175000,729,729.0,406.0,1996
247900,1682,1664.0,528.0,1997
181000,926,926.0,470.0,1997
188000,773,773.0,431.0,1995
194500,1086,712.0,409.0,1994
185000,851,836.0,416.0,1991
355000,1168,1168.0,683.0,2005
325000,1134,1122.0,656.0,2005
387000,1884,1884.0,670.0,2004
115000,1474,1632.0,495.0,1952
215000,1236,791.0,542.0,1986
226500,1688,1675.0,528.0,1988
175500,1422,1422.0,576.0,1981
181900,1260,1260.0,598.0,1983
235000,2064,2048.0,550.0,1978
220000,1782,1782.0,551.0,1979
272000,1542,1330.0,619.0,1977
161000,1211,1211.0,461.0,1976
185000,1277,738.0,489.0,1980
146900,720,720.0,484.0,1969
292500,1420,1420.0,1314.0,1978
159900,1444,1444.0,473.0,1976
205000,1098,803.0,483.0,1976
157000,1178,1176.0,439.0,1973
306000,1236,1236.0,787.0,1996
151000,1054,1054.0,460.0,1969
111900,936,936.0,288.0,1969
123000,864,864.0,576.0,1971
111250,864,864.0,576.0,1972
110000,892,864.0,264.0,1966
417500,2464,2418.0,650.0,2007
383000,1950,1950.0,706.0,2007
460000,1632,1620.0,1150.0,2005
379000,1414,1414.0,1003.0,2005
250000,948,948.0,656.0,2007
316000,1170,1148.0,756.0,2004
615000,2470,2535.0,789.0,2003
412500,1572,1572.0,726.0,2003
284000,1006,998.0,871.0,2003
284000,1575,1603.0,732.0,2003
421250,1515,1479.0,746.0,2001
370000,1804,1765.0,795.0,2003
159895,1266,1266.0,388.0,2007
179000,813,789.0,393.0,2004
193000,864,839.0,398.0,2004
190000,1166,856.0,400.0,2005
176000,728,728.0,400.0,2005
188000,840,840.0,400.0,2002
213000,847,847.0,434.0,2003
186500,962,936.0,451.0,2000
226750,1008,982.0,431.0,2000
184000,788,788.0,388.0,2004
176000,707,707.0,403.0,2002
225000,1037,1037.0,400.0,1999
185900,873,831.0,450.0,1999
284500,1182,1173.0,516.0,1997
315000,1470,1470.0,696.0,1998
250000,1145,1145.0,836.0,2000
291000,1533,1519.0,687.0,2000
350000,2006,1982.0,938.0,1998
279500,1064,1064.0,576.0,1996
290000,1251,1242.0,751.0,1995
350000,2113,2109.0,839.0,1995
341000,1325,1311.0,983.0,1993
287500,1108,1080.0,783.0,1993
271000,1223,1223.0,525.0,1994
301500,1987,1986.0,691.0,1994
214000,894,894.0,668.0,2007
232000,1574,1574.0,824.0,2006
240000,1578,1578.0,642.0,2006
245000,1563,1563.0,758.0,2007
257000,1341,1341.0,851.0,2007
247000,1460,1460.0,480.0,2006
226700,866,866.0,603.0,2005
250000,1053,1053.0,648.0,2003
250000,1026,1026.0,936.0,2005
205950,822,813.0,562.0,2007
256000,1660,1660.0,660.0,2007
207500,864,864.0,673.0,2003
141000,1080,1080.0,0.0,2004
188000,835,835.0,542.0,2003
192500,835,835.0,478.0,2003
146000,1175,1175.0,0.0,2005
159000,1114,1114.0,576.0,2004
155000,1114,1114.0,576.0,2003
173000,798,798.0,520.0,2004
