Day,High,Low,Condition
156,52.7,34.5,Sunny
157,65.8,41.2,Sunny
158,59.1,38.0,Sunny
159,51.1,34.0,Sunny
160,60.6,38.9,Sunny
161,52.7,35.1,Sunny
162,61.8,39.8,Sunny
163,63.9,41.0,Sunny
164,54.3,36.3,Sunny
165,63.5,41.1,Sunny
166,61.0,40.0,Sunny
167,63.4,41.3,Sunny
168,69.0,44.3,Sunny
169,58.6,39.2,Sunny
170,56.4,38.2,Sunny
171,56.0,38.2,Sunny
172,56.6,38.7,Cloudy
173,60.6,40.8,Sunny
174,63.1,42.2,Sunny
175,63.0,42.3,Sunny
176,66.1,44.0,Sunny
177,62.4,42.3,Cloudy
178,69.9,46.2,Sunny
179,61.6,42.3,Sunny
180,76.9,50.0,Cloudy
181,66.7,45.1,Sunny
182,59.6,41.8,Sunny
183,58.9,41.6,Sunny
184,67.0,45.8,Cloudy
185,63.8,44.3,Cloudy
186,68.8,47.0,Sunny
187,67.9,46.7,Cloudy
188,65.5,45.7,Sunny
189,62.0,44.1,Sunny
190,59.0,42.8,Cloudy
191,64.7,45.8,Cloudy
192,71.5,49.4,Sunny
193,68.7,48.1,Sunny
194,61.7,44.8,Sunny
195,69.1,48.7,Sunny
196,70.6,49.6,Sunny
197,64.5,46.8,Cloudy
198,70.1,49.7,Sunny
199,69.9,49.8,Sunny
200,64.3,47.1,Cloudy
201,72.1,51.2,Sunny
202,73.5,52.1,Cloudy
203,76.4,53.7,Sunny
204,76.6,54.0,Cloudy
205,64.8,48.3,Cloudy
206,67.4,49.7,Sunny
207,75.0,53.7,Sunny
208,75.3,54.0,Sunny
209,75.7,54.4,Cloudy
210,92.7,63.1,Sunny
211,76.6,55.2,Sunny
212,79.8,56.9,Sunny
213,79.2,56.8,Sunny
214,78.0,56.4,Sunny
215,73.5,54.3,Cloudy
216,79.2,57.3,Sunny
217,71.9,53.8,Sunny
218,74.9,55.5,Sunny
219,74.0,55.2,Cloudy
220,77.2,57.0,Sunny
221,88.6,62.9,Sunny
222,68.1,52.7,Sunny
223,81.1,59.4,Cloudy
224,70.0,54.0,Sunny
225,76.0,57.2,Sunny
226,84.1,61.4,Cloudy
227,79.3,59.1,Cloudy
228,73.9,56.6,Sunny
229,76.0,57.8,Sunny
230,83.3,61.6,Sunny
231,76.5,58.3,Sunny
232,81.6,61.0,Sunny
233,81.0,60.9,Cloudy
234,77.8,59.4,Sunny
235,92.1,66.7,Sunny
236,84.8,63.2,Sunny
237,71.8,56.8,Sunny
238,83.1,62.6,Sunny
239,79.1,60.8,Sunny
240,87.0,64.8,Sunny
241,79.0,61.0,Sunny
242,82.7,62.9,Sunny
243,86.0,64.8,Sunny
244,88.1,65.9,Cloudy
245,78.0,61.0,Sunny
246,82.6,63.4,Cloudy
247,82.1,63.3,Sunny
248,81.4,63.1,Sunny
249,93.8,69.4,Cloudy
250,87.2,66.2,Sunny
251,79.1,62.2,Cloudy
252,90.2,67.9,Sunny
253,96.4,71.1,Sunny
254,91.2,68.6,Sunny
255,78.6,62.4,Sunny
256,84.0,65.2,Sunny
257,93.0,69.8,Cloudy
258,83.3,65.0,Cloudy
259,89.2,68.1,Cloudy
260,91.0,69.1,Sunny
261,82.7,65.0,Sunny
262,87.2,67.4,Sunny
263,71.5,59.6,Sunny
264,82.7,65.3,Sunny
265,86.7,67.4,Sunny
266,81.9,65.0,Sunny
267,96.4,72.4,Sunny
268,81.3,64.8,Sunny
269,86.4,67.5,Sunny
270,89.3,69.0,Sunny
271,96.0,72.4,Sunny
272,81.7,65.3,Sunny
273,94.8,71.9,Sunny
274,89.2,69.2,Sunny
275,84.3,66.8,Sunny
276,91.6,70.5,Sunny
277,90.4,69.9,Sunny
278,86.5,68.0,Cloudy
279,89.9,69.7,Sunny
280,87.7,68.7,Sunny
281,90.3,70.0,Sunny
282,93.1,71.4,Sunny
283,97.7,73.8,Sunny
284,83.7,66.7,Sunny
285,100.5,75.2,Sunny
286,80.2,65.0,Sunny
287,89.2,69.6,Sunny
288,92.9,71.4,Sunny
289,91.4,70.7,Sunny
290,86.9,68.4,Cloudy
291,89.0,69.5,Sunny
292,87.5,68.8,Cloudy
293,87.0,68.5,Sunny
294,94.2,72.1,Sunny
295,91.7,70.9,Sunny
296,86.5,68.2,Sunny
297,94.4,72.2,Cloudy
298,91.4,70.6,Sunny
299,93.9,71.9,Sunny
300,92.9,71.3,Sunny
301,85.6,67.6,Sunny
302,86.9,68.3,Sunny
303,93.3,71.5,Sunny
304,92.6,71.0,Sunny
305,89.3,69.4,Sunny
306,89.9,69.7,Sunny
307,95.7,72.5,Cloudy
308,86.2,67.7,Sunny
309,91.8,70.4,Sunny
310,88.0,68.5,Sunny
311,87.8,68.3,Sunny
312,94.2,71.5,Sunny
313,92.7,70.7,Sunny
314,92.6,70.5,Sunny
315,94.9,71.6,Sunny
316,88.3,68.3,Sunny
317,91.5,69.8,Sunny
318,86.4,67.1,Sunny
319,89.4,68.6,Sunny
320,86.9,67.3,Sunny
321,87.9,67.7,Sunny
322,90.2,68.8,Cloudy
323,83.0,65.0,Sunny
324,97.4,72.1,Cloudy
325,81.7,64.2,Cloudy
326,80.5,63.5,Sunny
327,92.1,69.2,Sunny
328,90.1,68.1,Sunny
329,89.0,67.5,Sunny
330,88.9,67.3,Sunny
331,85.4,65.5,Cloudy
332,80.8,63.0,Cloudy
333,85.4,65.2,Sunny
334,81.4,63.1,Cloudy
335,89.5,67.0,Sunny
336,83.6,64.0,Sunny
337,80.0,62.0,Sunny
338,82.3,63.1,Sunny
339,85.7,64.6,Sunny
340,80.5,62.0,Sunny
341,79.0,61.0,Sunny
342,84.1,63.5,Cloudy
343,83.8,63.2,Sunny
344,79.8,61.0,Sunny
345,79.7,60.9,Sunny
346,82.9,62.3,Sunny
347,74.2,57.9,Sunny
348,74.2,57.7,Cloudy
349,77.3,59.1,Sunny
350,79.5,60.1,Sunny
351,81.9,61.1,Sunny
352,87.4,63.7,Sunny
353,84.0,61.9,Sunny
354,78.6,59.0,Cloudy
355,79.0,59.1,Sunny
356,73.8,56.3,Sunny
357,78.4,58.5,Cloudy
358,76.7,57.5,Sunny
359,79.5,58.7,Sunny
360,73.4,55.5,Cloudy
361,79.8,58.5,Sunny
362,84.6,60.7,Sunny
363,76.0,56.3,Cloudy
364,78.3,57.3,Sunny
365,79.4,57.7,Sunny
