father,mother,parental average,son
66.5,62.5,64.5,70.0
66.0,61.5,63.75,70.0
66.0,60.0,63.0,68.0
66.0,60.0,63.0,65.0
66.0,59.0,62.5,68.0
65.0,67.0,66.0,66.5
65.0,66.0,65.5,63.0
65.0,66.0,65.5,67.0
65.0,65.0,65.0,69.0
65.0,65.5,65.25,70.7
65.0,65.0,65.0,69.2
65.0,64.0,64.5,67.0
65.0,63.0,64.0,70.0
65.0,63.0,64.0,66.0
65.5,63.0,64.25,71.0
65.5,60.0,62.75,68.0
64.0,64.0,64.0,71.5
64.0,64.0,64.0,70.5
64.0,63.0,63.5,64.5
64.0,60.0,62.0,66.0
62.0,66.0,64.0,64.0
62.5,63.0,62.75,66.5
